
1,Ambulans,118
2,Pemadam Kebakaran,113
3,Polisi,110
4,Sar/Basarnas,115
5,Posko Bencana Alam,129
6,PLN,123
7,BADAN SAR (BALI),0361 751115
8,BADAN PENYELAMAT PANTAI (BALI) ,0361 755660
9,POLSEK(BALI),0361 224456(Denpasar)
10,POLSEK(BALI - SANUR),0361 288597(Sanur)
11,POLSEK(BALI - KUTA),0361 751598(Kuta)
12,POLSEK(BALI - BULAU),0361 772110(Bualu)
13,POLSEK(BALI - MENGWI), 0361 411270(Mengwi)
14,TOURIST INFORMATION CENTRE(BALI) ,166
15,Darurat/Emergency Call (YOGYAKARTA),112
16,SAR (Yogyakarta),(0274) 587 559
17,Informasi Gempa Nasional ,(021) 6586 6502
18,Posko Kewaspadaan Nasional ,122
19,Dinas Pemadam Kebakaran(BANDUNG),022-113
20,Ambulance(BANDUNG),022-118
21,Polrestabes (BANDUNG),022-4203500
22,Polrestabes (BANDUNG),4244444
23,Ambulance(MALANG),0341-320188
24,Pemadam Kebakaran(MALANG), 0341-325900
25,Pemadam Kebakaran(MALANG),364617
26,Rumah Sakit Umum(MALANG), 0341-362101
27,SAR (SURABAYA),(031) 8666611
